Airline,Origin,Destination,Day,Month,Year,Weekday,Departure_Hour,Arrival_Hour,Duration_Minutes,Stops,Class,WiFi,Meals,Baggage_kg,Price_VND
Bamboo Airways,TP HCM,HUẾ,27.0,4.0,2021.0,1.0,8.0,10.0,85.0,0,ECO SAVER,No,Snack,20,1281000.0
Vietnam Airlines,HÀ NỘI,ĐÀ NẴNG,7.0,4.0,2021.0,2.0,9.0,10.0,85.0,0,ECONOMY (EC)-E,No,No,7,970000.0
Bamboo Airways,TP HCM,HÀ NỘI,21.0,4.0,2021.0,2.0,17.0,19.0,130.0,0,ECO SAVER,No,No,7,861000.0
Bamboo Airways,TP HCM,ĐÀ NẴNG,11.0,4.0,2021.0,6.0,20.0,21.0,102.0,0,ECO SAVER,No,No,7,706823.0
Pacific Airlines,ĐÀ NẴNG,HÀ NỘI,12.0,4.0,2021.0,0.0,12.0,14.0,66.0,0,ECONOMY (EC)-R,No,No,20,1134956.0
Vietjet,HÀ NỘI,QUY NHƠN,27.0,4.0,2021.0,1.0,12.0,14.0,80.0,0,ECO,No,No,7,674873.0
Vietnam Airlines,TP HCM,ĐÀ NẴNG,6.0,4.0,2021.0,1.0,14.0,15.0,85.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Vietravel Airlines,TP HCM,PHÚ QUỐC,25.0,4.0,2021.0,6.0,13.0,14.0,66.0,0,AREGOW (A) - VÉ KHÔNG HOÀN,No,No,7,727626.0
Vietjet,TP HCM,PHÚ QUỐC,15.0,4.0,2021.0,3.0,13.0,14.0,60.0,0,ECO,No,No,7,694900.0
Vietjet,HAN,PQC,17.0,1.0,2026.0,5.0,12.0,14.0,110.0,0,ECONOMY,Limited,Snack,20,1587023.0
Bamboo Airways,HÀ NỘI,TP HCM,22.0,4.0,2021.0,3.0,5.0,7.0,115.0,0,ECO SAVER,No,No,7,880653.0
Pacific Airlines,HÀ NỘI,TP HCM,5.0,4.0,2021.0,0.0,8.0,10.0,135.0,0,ECONOMY (EL)-P,No,No,7,859000.0
Vietjet,HAN,SGN,16.0,1.0,2026.0,4.0,23.0,1.0,130.0,0,BUSINESS,Yes,Yes,40,3283827.0
Vietnam Airlines,TP HCM,HẢI PHÒNG,23.0,4.0,2021.0,4.0,7.0,9.0,113.0,0,ECONOMY (EL)-A,No,No,7,763525.0
Bamboo Airways,HÀ NỘI,TP HCM,28.0,4.0,2021.0,2.0,10.0,12.0,130.0,0,ECO SAVER,No,No,7,971000.0
Vietjet,VINH,TP HCM,20.0,4.0,2021.0,1.0,9.0,11.0,125.0,0,ECO,No,No,7,694900.0
Vietnam Airlines,SGN,HAN,9.0,4.0,2021.0,4.0,19.0,21.0,142.0,0,ECONOMY,No,No,7,929745.0
Vietjet,SGN,HAN,1.0,1.0,2026.0,3.0,12.0,14.0,101.0,0,ECONOMY,No,Snack,20,1402480.0
Pacific Airlines,SGN,HAN,6.0,4.0,2021.0,1.0,14.0,16.0,135.0,0,ECONOMY,No,No,20,1080000.0
Vietnam Airlines,SGN,DLI,5.0,4.0,2021.0,0.0,15.0,16.0,65.0,0,ECONOMY,No,No,7,726000.0
Vietjet,HÀ NỘI,ĐÀ NẴNG,16.0,4.0,2021.0,4.0,13.0,14.0,80.0,0,ECO,Limited,Snack,23,2028900.0
Vietjet,TP HCM,CHU LAI,25.0,4.0,2021.0,6.0,15.0,16.0,80.0,0,ECO,No,No,7,749900.0
Vietjet,ĐÀ LẠT,HÀ NỘI,14.0,4.0,2021.0,2.0,21.0,23.0,110.0,0,ECO,No,No,7,749900.0
Vietravel Airlines,TP HCM,HÀ NỘI,28.0,4.0,2021.0,2.0,9.0,11.0,130.0,0,AREGOW (A) - VÉ KHÔNG HOÀN,No,No,7,950000.0
Vietnam Airlines,ĐÀ LẠT,HÀ NỘI,16.0,4.0,2021.0,4.0,15.0,17.0,120.0,0,ECONOMY (EL)-P,No,No,7,969000.0
Vietjet,HÀ NỘI,TP HCM,5.0,4.0,2021.0,0.0,6.0,9.0,125.0,0,ECO,No,No,7,849900.0
Vietjet,HÀ NỘI,ĐÀ NẴNG,8.0,4.0,2021.0,3.0,21.0,22.0,80.0,0,ECO,No,No,7,683900.0
Vietjet,HUẾ,TP HCM,2.0,4.0,2021.0,4.0,11.0,12.0,75.0,0,ECO,No,No,7,663155.0
Vietnam Airlines,TP HCM,VINH,4.0,4.0,2021.0,6.0,8.0,10.0,115.0,0,ECONOMY (EL)-A,No,No,7,870000.0
Vietjet,CHU LAI,TP HCM,26.0,4.0,2021.0,0.0,12.0,14.0,83.0,0,ECO,No,No,7,765318.0
Vietnam Airlines,PQC,SGN,3.0,4.0,2021.0,5.0,11.0,13.0,70.0,0,ECONOMY,No,No,7,970000.0
Vietnam Airlines,TP HCM,HÀ NỘI,23.0,4.0,2021.0,4.0,12.0,14.0,130.0,0,ECONOMY (EC)-T,No,Snack,20,1400000.0
Vietjet,HÀ NỘI,ĐÀ LẠT,17.0,4.0,2021.0,5.0,18.0,19.0,103.0,0,ECO,No,No,7,932727.0
Bamboo Airways,TP HCM,ĐÀ NẴNG,9.0,4.0,2021.0,4.0,11.0,12.0,90.0,0,ECO SAVER,No,No,20,1071000.0
Vietnam Airlines,DAD,HAN,4.0,5.0,2021.0,1.0,18.0,19.0,80.0,0,ECONOMY,No,No,20,1080000.0
Bamboo Airways,TP HCM,HÀ NỘI,20.0,4.0,2021.0,1.0,7.0,9.0,122.0,0,ECO SAVER,No,No,7,875916.0
Vietjet,HAN,DAD,8.0,4.0,2021.0,3.0,17.0,18.0,80.0,0,ECONOMY,No,No,7,749900.0
Vietnam Airlines,HÀ NỘI,ĐÀ NẴNG,3.0,4.0,2021.0,5.0,11.0,12.0,85.0,0,ECONOMY (EF)-S,Limited,Snack,23,2390000.0
Bamboo Airways,HAN,PQC,10.0,4.0,2021.0,5.0,15.0,17.0,125.0,0,ECONOMY,Limited,Snack,23,2162000.0
Vietnam Airlines,SGN,HAN,2.0,4.0,2021.0,4.0,8.0,10.0,130.0,0,ECONOMY,No,No,7,969000.0
Bamboo Airways,VCA,HAN,10.0,4.0,2021.0,5.0,10.0,12.0,130.0,0,ECONOMY,No,No,7,806000.0
Pacific Airlines,TP HCM,HÀ NỘI,15.0,4.0,2021.0,3.0,8.0,10.0,135.0,0,ECONOMY (EC)-E,No,No,20,1080000.0
Bamboo Airways,SGN,CXR,2.0,5.0,2021.0,6.0,12.0,14.0,70.0,0,ECONOMY,No,No,7,706000.0
Vietnam Airlines,TP HCM,VINH,11.0,4.0,2021.0,6.0,6.0,8.0,116.0,0,ECONOMY (EL)-A,No,No,7,777218.0
Vietjet,HÀ NỘI,PHÚ QUỐC,16.0,4.0,2021.0,4.0,14.0,16.0,125.0,0,ECO,No,No,7,960900.0
Vietnam Airlines,TP HCM,PHÚ QUỐC,3.0,5.0,2021.0,0.0,19.0,20.0,65.0,0,ECONOMY (EL)-A,No,No,7,726000.0
Vietjet,ĐÀ NẴNG,HÀ NỘI,30.0,4.0,2021.0,4.0,9.0,10.0,77.0,0,ECO,No,No,7,717707.0
Vietjet,TP HCM,THANH HÓA,30.0,4.0,2021.0,4.0,6.0,8.0,120.0,0,ECO,Limited,Snack,20,1562558.0
Bamboo Airways,CẦN THƠ,HÀ NỘI,21.0,4.0,2021.0,2.0,12.0,14.0,135.0,0,ECO SAVER,No,No,7,806000.0
Pacific Airlines,PHÚ QUỐC,TP HCM,2.0,5.0,2021.0,6.0,16.0,17.0,65.0,0,ECONOMY (EG)-M,Limited,Snack,23,2082000.0
Vietjet,HAN,DAD,7.0,4.0,2021.0,2.0,7.0,9.0,80.0,0,ECONOMY,No,No,7,749900.0
Vietnam Airlines,HUI,SGN,4.0,4.0,2021.0,6.0,22.0,23.0,110.0,0,ECONOMY,No,No,7,863792.0
Vietjet,SGN,HAN,1.0,5.0,2021.0,5.0,7.0,9.0,130.0,0,ECONOMY,Limited,Snack,20,1610900.0
Vietnam Airlines,HAN,PQC,17.0,1.0,2026.0,5.0,12.0,14.0,110.0,0,ECONOMY,Limited,Snack,23,2095470.0
Vietnam Airlines,ĐÀ LẠT,TP HCM,4.0,4.0,2021.0,6.0,8.0,9.0,60.0,0,ECONOMY (EC)-T,No,No,20,1080000.0
Pacific Airlines,SGN,HAN,7.0,4.0,2021.0,2.0,6.0,9.0,155.0,0,ECONOMY,No,No,7,859000.0
Vietnam Airlines,TP HCM,ĐÀ NẴNG,24.0,4.0,2021.0,5.0,7.0,8.0,85.0,0,ECONOMY (EC)-T,No,No,20,1075091.0
Vietjet,TP HCM,CHU LAI,20.0,4.0,2021.0,1.0,10.0,12.0,68.0,0,ECO,No,No,7,754786.0
Vietnam Airlines,ĐÀ NẴNG,TP HCM,7.0,4.0,2021.0,2.0,21.0,23.0,90.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Vietjet,DAD,SGN,14.0,1.0,2026.0,2.0,9.0,10.0,115.0,0,BUSINESS,Yes,Yes,30,2514471.0
Vietravel Airlines,HÀ NỘI,TP HCM,28.0,4.0,2021.0,2.0,9.0,12.0,158.0,0,AREGOW (A) - VÉ KHÔNG HOÀN,No,No,7,946567.0
Vietnam Airlines,CẦN THƠ,HÀ NỘI,2.0,4.0,2021.0,4.0,10.0,12.0,123.0,0,ECONOMY (EL)-A,No,No,7,949171.0
Vietnam Airlines,NHA TRANG,TP HCM,15.0,4.0,2021.0,3.0,9.0,10.0,78.0,0,ECONOMY (EL)-A,No,No,7,717588.0
Vietjet,HAN,CXR,2.0,4.0,2021.0,4.0,15.0,17.0,110.0,0,ECONOMY,Limited,Yes,23,2930900.0
Bamboo Airways,HÀ NỘI,CẦN THƠ,23.0,4.0,2021.0,4.0,17.0,19.0,130.0,0,ECO SAVER,No,No,7,971000.0
Vietnam Airlines,PHÚ QUỐC,TP HCM,3.0,5.0,2021.0,0.0,11.0,13.0,70.0,0,ECONOMY (EF)-S,Limited,Snack,20,1950000.0
Vietjet,HÀ NỘI,TP HCM,28.0,4.0,2021.0,2.0,6.0,9.0,115.0,0,ECO,No,No,20,1221659.0
Vietjet,CHU LAI,TP HCM,26.0,4.0,2021.0,0.0,20.0,21.0,75.0,0,ECO,No,No,7,749900.0
Pacific Airlines,SGN,DAD,8.0,4.0,2021.0,3.0,19.0,20.0,80.0,0,ECONOMY,No,No,7,704000.0
Vietnam Airlines,TP HCM,PHÚ QUỐC,1.0,5.0,2021.0,5.0,6.0,7.0,65.0,0,ECONOMY (EC)-Q,No,Snack,20,1400000.0
Vietjet,PHÚ QUỐC,HÀ NỘI,3.0,4.0,2021.0,5.0,8.0,10.0,115.0,0,ECO,No,Snack,20,1439669.0
Vietnam Airlines,ĐÀ LẠT,TP HCM,2.0,5.0,2021.0,6.0,21.0,22.0,60.0,0,ECONOMY (EC)-Q,No,Snack,20,1400000.0
Vietnam Airlines,TP HCM,ĐÀ NẴNG,29.0,4.0,2021.0,3.0,8.0,9.0,92.0,0,ECONOMY (EF)-H,Limited,Snack,23,2158469.0
Vietnam Airlines,CXR,SGN,10.0,4.0,2021.0,5.0,18.0,20.0,70.0,0,ECONOMY,No,No,7,859000.0
Vietjet,SGN,DAD,1.0,5.0,2021.0,5.0,18.0,19.0,80.0,0,BUSINESS,Yes,Yes,30,5288978.0
Vietjet,TP HCM,PHÚ QUỐC,17.0,4.0,2021.0,5.0,17.0,18.0,64.0,0,ECO,No,No,7,679568.0
Vietnam Airlines,TP HCM,ĐÀ NẴNG,15.0,4.0,2021.0,3.0,14.0,15.0,72.0,0,ECONOMY (EL)-P,No,No,7,854786.0
Vietnam Airlines,NHA TRANG,TP HCM,1.0,5.0,2021.0,5.0,14.0,16.0,70.0,0,ECONOMY (EC)-E,No,No,7,970000.0
Vietjet,HÀ NỘI,PHÚ QUỐC,6.0,4.0,2021.0,1.0,10.0,12.0,129.0,0,ECO,No,No,20,1152922.0
Vietjet,PHÚ QUỐC,TP HCM,8.0,4.0,2021.0,3.0,11.0,13.0,70.0,0,ECO,No,No,7,694900.0
Vietjet,UIH,HAN,1.0,5.0,2021.0,5.0,8.0,9.0,95.0,0,ECONOMY,No,Snack,20,1258900.0
Vietjet,HAN,SGN,8.0,4.0,2021.0,3.0,15.0,17.0,125.0,0,ECONOMY,No,No,7,849900.0
Vietjet,SGN,PQC,7.0,1.0,2026.0,2.0,12.0,14.0,110.0,0,BUSINESS,Yes,Yes,30,2221031.0
Vietjet,SGN,NRT,15.0,1.0,2026.0,3.0,12.0,14.0,110.0,0,ECONOMY,Yes,Yes,23,4796202.0
Bamboo Airways,TP HCM,HẢI PHÒNG,28.0,4.0,2021.0,2.0,8.0,10.0,120.0,0,ECO SAVER,No,No,7,861000.0
Vietnam Airlines,HUI,SGN,1.0,4.0,2021.0,3.0,22.0,23.0,100.0,0,ECONOMY,No,No,7,759000.0
Vietjet,HẢI PHÒNG,TP HCM,4.0,5.0,2021.0,1.0,12.0,14.0,115.0,0,ECO,No,No,7,694900.0
Bamboo Airways,VINH,TP HCM,3.0,4.0,2021.0,5.0,14.0,16.0,120.0,0,ECO SAVER,No,No,20,1052152.0
Vietjet,SGN,HUI,2.0,5.0,2021.0,6.0,13.0,15.0,87.0,0,ECONOMY,No,No,20,1108739.0
Vietnam Airlines,ĐÀ NẴNG,TP HCM,4.0,4.0,2021.0,6.0,15.0,17.0,90.0,0,ECONOMY (EF)-K,Limited,Snack,20,1840000.0
Bamboo Airways,HAN,PQC,1.0,4.0,2021.0,3.0,7.0,9.0,125.0,0,ECONOMY,Yes,Yes,23,4912000.0
Vietnam Airlines,HẢI PHÒNG,TP HCM,27.0,4.0,2021.0,1.0,11.0,13.0,130.0,0,ECONOMY (EL)-A,No,No,7,760000.0
Vietjet,TP HCM,HÀ NỘI,4.0,5.0,2021.0,1.0,20.0,22.0,125.0,0,ECO,No,No,20,1170900.0
Bamboo Airways,CXR,HAN,4.0,5.0,2021.0,1.0,10.0,12.0,110.0,0,ECONOMY,Limited,Snack,20,1501000.0
Bamboo Airways,HÀ NỘI,ĐÀ NẴNG,2.0,5.0,2021.0,6.0,9.0,10.0,80.0,0,ECO SAVER,No,No,7,761000.0
Vietnam Airlines,TP HCM,ĐÀ NẴNG,2.0,5.0,2021.0,6.0,6.0,8.0,85.0,0,ECONOMY (EL)-A,No,No,7,786542.0
Vietjet,HÀ NỘI,ĐÀ LẠT,7.0,4.0,2021.0,2.0,5.0,7.0,110.0,0,ECO,No,No,7,959900.0
Pacific Airlines,TP HCM,CHU LAI,11.0,4.0,2021.0,6.0,7.0,9.0,80.0,0,ECONOMY (EL)-A,No,No,7,715000.0
Vietjet,TP HCM,CHU LAI,1.0,5.0,2021.0,5.0,10.0,12.0,80.0,0,ECO,No,No,7,860900.0
Vietnam Airlines,SGN,HAN,1.0,4.0,2021.0,3.0,20.0,22.0,130.0,0,BUSINESS,Yes,Yes,30,3876000.0
Bamboo Airways,HÀ NỘI,PHÚ QUỐC,19.0,4.0,2021.0,0.0,10.0,12.0,125.0,0,ECO SMART,Limited,Yes,23,2822000.0
Vietnam Airlines,TP HCM,HÀ NỘI,23.0,4.0,2021.0,4.0,7.0,9.0,130.0,0,ECONOMY (EL)-P,No,No,7,969000.0
Vietjet,TP HCM,PHÚ QUỐC,4.0,5.0,2021.0,1.0,7.0,8.0,60.0,0,ECO,No,No,7,694900.0
Bamboo Airways,HUI,SGN,1.0,4.0,2021.0,3.0,10.0,12.0,95.0,0,ECONOMY,No,No,7,706000.0
Vietnam Airlines,NHA TRANG,HÀ NỘI,17.0,4.0,2021.0,5.0,18.0,20.0,120.0,0,ECONOMY (EC)-E,No,No,20,1180000.0
Bamboo Airways,TP HCM,HÀ NỘI,24.0,4.0,2021.0,5.0,14.0,17.0,130.0,0,ECO SAVER,No,No,7,861000.0
Vietjet,VINH,TP HCM,19.0,4.0,2021.0,0.0,22.0,0.0,115.0,0,ECO,No,No,7,694900.0
Vietjet,TP HCM,NHA TRANG,24.0,4.0,2021.0,5.0,8.0,9.0,65.0,0,ECO,No,No,7,682800.0
Vietnam Airlines,SGN,DAD,8.0,4.0,2021.0,3.0,18.0,19.0,85.0,0,ECONOMY,No,No,7,759000.0
Vietnam Airlines,TP HCM,PHÚ QUỐC,2.0,5.0,2021.0,6.0,9.0,10.0,56.0,0,ECONOMY (EL)-P,No,No,7,824413.0
Vietnam Airlines,TP HCM,HÀ NỘI,27.0,4.0,2021.0,1.0,19.0,21.0,122.0,0,ECONOMY (EL)-P,No,No,7,934098.0
Vietnam Airlines,ĐÀ NẴNG,TP HCM,24.0,4.0,2021.0,5.0,7.0,9.0,90.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Vietjet,VINH,TP HCM,1.0,4.0,2021.0,3.0,9.0,11.0,127.0,0,ECO,No,No,20,1041333.0
Vietjet,TP HCM,HÀ NỘI,19.0,4.0,2021.0,0.0,21.0,23.0,134.0,0,ECO,No,No,7,849395.0
Vietnam Airlines,HÀ NỘI,ĐÀ NẴNG,16.0,4.0,2021.0,4.0,10.0,11.0,80.0,0,ECONOMY (EF)-H,Limited,Snack,23,2060000.0
Vietjet,TP HCM,PHÚ QUỐC,3.0,4.0,2021.0,5.0,7.0,8.0,60.0,0,ECO,No,Snack,20,1236900.0
Vietjet,THD,SGN,1.0,4.0,2021.0,3.0,8.0,10.0,120.0,0,ECONOMY,No,No,7,849900.0
Vietnam Airlines,TP HCM,HUẾ,3.0,4.0,2021.0,5.0,15.0,17.0,97.0,0,ECONOMY (EL)-A,No,No,7,773654.0
Vietnam Airlines,THANH HÓA,TP HCM,29.0,4.0,2021.0,3.0,9.0,11.0,140.0,0,ECONOMY (EL)-P,No,No,7,989480.0
Vietjet,ĐÀ NẴNG,HÀ NỘI,3.0,5.0,2021.0,0.0,15.0,16.0,90.0,0,ECO,Limited,Yes,23,2702225.0
Vietjet,HÀ NỘI,TP HCM,26.0,4.0,2021.0,0.0,12.0,15.0,130.0,0,ECO,No,No,7,849900.0
Vietnam Airlines,PHÚ QUỐC,TP HCM,28.0,4.0,2021.0,2.0,10.0,11.0,70.0,0,ECONOMY (EL)-A,No,No,7,726000.0
Vietnam Airlines,SGN,HAN,10.0,4.0,2021.0,5.0,9.0,11.0,121.0,0,ECONOMY,No,No,7,966631.0
Vietnam Airlines,SGN,VII,6.0,4.0,2021.0,1.0,19.0,21.0,115.0,0,ECONOMY,No,No,7,760000.0
Vietnam Airlines,HÀ NỘI,TP HCM,4.0,5.0,2021.0,1.0,8.0,10.0,135.0,0,ECONOMY (EL)-A,No,No,7,859000.0
Vietravel Airlines,SGN,DAD,3.0,5.0,2021.0,0.0,19.0,20.0,91.0,0,BUSINESS,Yes,Yes,30,2676763.0
Vietjet,TP HCM,HÀ NỘI,22.0,4.0,2021.0,3.0,22.0,1.0,130.0,0,ECO,No,No,7,849900.0
Vietnam Airlines,HÀ NỘI,QUY NHƠN,7.0,4.0,2021.0,2.0,13.0,15.0,105.0,0,ECONOMY (EL)-P,No,No,7,969000.0
Vietnam Airlines,HẢI PHÒNG,TP HCM,5.0,4.0,2021.0,0.0,11.0,13.0,130.0,0,ECONOMY (EL)-A,No,No,7,760000.0
Vietjet,TP HCM,HUẾ,6.0,4.0,2021.0,1.0,6.0,8.0,85.0,0,ECO,No,No,7,749900.0
Vietjet,PHÚ QUỐC,HÀ NỘI,30.0,4.0,2021.0,4.0,19.0,21.0,129.0,0,ECO,No,No,7,951880.0
Vietjet,HUẾ,TP HCM,10.0,4.0,2021.0,5.0,17.0,18.0,94.0,0,ECO,No,No,7,707511.0
Vietnam Airlines,SGN,PQC,12.0,4.0,2021.0,0.0,6.0,8.0,76.0,0,ECONOMY,No,No,7,690232.0
Vietjet,HÀ NỘI,TP HCM,23.0,4.0,2021.0,4.0,14.0,17.0,145.0,0,ECO,No,No,7,849900.0
Vietnam Airlines,HUẾ,TP HCM,27.0,4.0,2021.0,1.0,13.0,15.0,100.0,0,ECONOMY (EL)-A,No,No,7,759000.0
Vietjet,VINH,TP HCM,24.0,4.0,2021.0,5.0,15.0,17.0,109.0,0,ECO,No,No,7,703077.0
Vietnam Airlines,TP HCM,HÀ NỘI,12.0,4.0,2021.0,0.0,5.0,7.0,130.0,0,ECONOMY (EL)-P,No,No,7,969000.0
Pacific Airlines,TP HCM,ĐÀ LẠT,3.0,5.0,2021.0,0.0,15.0,16.0,65.0,0,ECONOMY (EL)-A,No,No,7,726000.0
Vietnam Airlines,PHÚ QUỐC,TP HCM,16.0,4.0,2021.0,4.0,11.0,13.0,66.0,0,ECONOMY (EL)-A,No,No,7,752313.0
Vietjet,TP HCM,ĐÀ NẴNG,2.0,5.0,2021.0,6.0,10.0,11.0,80.0,0,ECO,No,No,7,694900.0
Vietjet,NHA TRANG,HÀ NỘI,27.0,4.0,2021.0,1.0,7.0,9.0,105.0,0,ECO,No,No,7,694900.0
Bamboo Airways,VINH,TP HCM,18.0,4.0,2021.0,6.0,21.0,23.0,127.0,0,ECO SAVER,No,No,7,871441.0
Pacific Airlines,SGN,HAN,1.0,5.0,2021.0,5.0,7.0,9.0,129.0,0,ECONOMY,No,No,20,1086796.0
Pacific Airlines,TP HCM,PHÚ QUỐC,25.0,4.0,2021.0,6.0,17.0,18.0,65.0,0,ECONOMY (EL)-A,No,No,7,704000.0
Vietnam Airlines,SGN,HAN,12.0,4.0,2021.0,0.0,13.0,15.0,130.0,0,BUSINESS,Yes,Yes,30,3876000.0
Vietjet,PHÚ QUỐC,HÀ NỘI,8.0,4.0,2021.0,3.0,13.0,15.0,127.0,0,ECO,No,No,20,1178979.0
Vietnam Airlines,HÀ NỘI,ĐÀ NẴNG,17.0,4.0,2021.0,5.0,16.0,17.0,85.0,0,ECONOMY (EC)-E,No,No,7,970000.0
Vietjet,PHÚ QUỐC,HÀ NỘI,19.0,4.0,2021.0,0.0,11.0,13.0,115.0,0,ECO,Yes,Yes,23,4285000.0
Pacific Airlines,SGN,HAN,1.0,5.0,2021.0,5.0,21.0,23.0,115.0,0,ECONOMY,No,No,20,1080000.0
Vietjet,HÀ NỘI,TP HCM,2.0,5.0,2021.0,6.0,15.0,17.0,125.0,0,ECO,Limited,Snack,20,1500900.0
Vietjet,TP HCM,VINH,28.0,4.0,2021.0,2.0,12.0,14.0,110.0,0,ECO,Limited,Snack,20,1500900.0
Vietjet,SGN,HAN,1.0,4.0,2021.0,3.0,16.0,18.0,125.0,0,ECONOMY,No,No,7,849900.0
Pacific Airlines,SGN,VII,10.0,4.0,2021.0,5.0,18.0,20.0,110.0,0,ECONOMY,No,No,7,726000.0
Vietnam Airlines,SGN,HAN,4.0,4.0,2021.0,6.0,19.0,21.0,128.0,0,ECONOMY,No,No,7,930590.0
Vietjet,TP HCM,NHA TRANG,29.0,4.0,2021.0,3.0,12.0,13.0,49.0,0,ECO,No,Snack,20,1374131.0
Pacific Airlines,TP HCM,HUẾ,1.0,4.0,2021.0,3.0,13.0,14.0,85.0,0,ECONOMY (EC)-E,No,No,7,925000.0
Vietnam Airlines,TP HCM,NHA TRANG,2.0,4.0,2021.0,4.0,19.0,20.0,75.0,0,ECONOMY (EC)-T,No,No,20,1080000.0
Bamboo Airways,DLI,SGN,3.0,4.0,2021.0,5.0,10.0,11.0,55.0,0,ECONOMY,No,No,7,706000.0
Vietnam Airlines,TP HCM,ĐÀ NẴNG,16.0,4.0,2021.0,4.0,20.0,22.0,85.0,0,ECONOMY (EC)-T,No,No,20,1080000.0
Pacific Airlines,TP HCM,CHU LAI,12.0,4.0,2021.0,0.0,7.0,9.0,75.0,0,ECONOMY (EL)-A,No,No,7,697883.0
Vietnam Airlines,SGN,DLI,12.0,4.0,2021.0,0.0,6.0,7.0,65.0,0,ECONOMY,No,No,7,726000.0
